times,cross,test-accuracy,train-accuracy
0,3.9695,0.0296296,0.05
5,3.87711,0.0185185,0.41
10,3.04704,0.0185185,0.405
15,3.28434,0.0185185,0.565
20,3.32631,0.0185185,0.325
25,2.25009,0.0185185,0.61
30,3.05066,0.0185185,0.42
35,2.66625,0.0185185,0.505
40,2.66872,0.0185185,0.53
45,2.83047,0.0185185,0.46
50,2.08224,0.0185185,0.65
55,3.4209,0.0185185,0.3
60,2.45275,0.0185185,0.56
65,2.8366,0.0185185,0.455
70,2.85326,0.0185185,0.455
75,2.40826,0.0185185,0.565
80,2.88805,0.0185185,0.44
85,2.02907,0.0185185,0.655
90,3.15778,0.0185185,0.365
95,2.4308,0.0185185,0.555
100,2.66426,0.0185185,0.495
105,3.00264,0.0185185,0.405
110,2.54998,0.0185185,0.57
115,3.21965,0.0185185,0.355
120,2.33332,0.0185185,0.6
125,2.92672,0.0185185,0.425
130,2.5313,0.0185185,0.55
135,2.65383,0.0185185,0.49
140,2.75809,0.0185185,0.475
145,2.13381,0.0185185,0.635
150,3.131,0.0185185,0.355
155,2.21596,0.0185185,0.61
160,2.88428,0.0185185,0.465
165,2.72343,0.0185185,0.47
170,2.45032,0.0185185,0.55
175,2.87459,0.0185185,0.425
180,2.12777,0.0185185,0.64
185,2.92111,0.0185185,0.415
190,2.46298,0.0185185,0.545
195,2.60158,0.0185185,0.5
200,2.75933,0.0185185,0.45
205,2.2756,0.0185185,0.585
210,3.22977,0.0185185,0.32
215,2.27872,0.0185185,0.59
220,2.91996,0.0185185,0.415
225,2.64438,0.0185185,0.55
230,2.59588,0.0185185,0.495
235,3.192,0.0185185,0.36
240,1.767,0.0185185,0.69
245,2.88046,0.0185185,0.385
250,2.67089,0.0185185,0.475
255,2.53898,0.0185185,0.505
260,2.55464,0.0185185,0.505
265,2.20039,0.0185185,0.555
270,3.28065,0.0185185,0.32
275,2.12689,0.0185185,0.61
280,2.74958,0.0185185,0.415
285,2.47339,0.0185185,0.53
290,2.63037,0.0185185,0.46
295,2.64011,0.0185185,0.455
300,2.00799,0.0185185,0.61
305,3.41303,0.0185185,0.305
310,2.13881,0.0185185,0.625
315,2.63507,0.0185185,0.445
320,2.78493,0.0185185,0.505
325,1.75005,0.0185185,0.635
330,2.5537,0.0185185,0.455
335,1.7734,0.0185185,0.64
340,2.88215,0.0185185,0.35
345,1.86868,0.0185185,0.6
350,2.45804,0.0185185,0.5
355,2.45982,0.0185185,0.435
360,1.89544,0.0185185,0.59
365,3.17085,0.0185185,0.375
370,1.77697,0.0185185,0.595
375,2.34465,0.0185185,0.5
380,2.11598,0.0185185,0.495
385,2.20698,0.0185185,0.505
390,2.51321,0.0481481,0.395
395,1.66758,0.0185185,0.675
400,3.25349,0.259259,0.485
405,2.32016,0.0185185,0.505
410,2.96822,0.107407,0.45
415,2.1301,0.0222222,0.485
420,1.61622,0.0259259,0.6
425,2.38304,0.0925926,0.405
430,2.17796,0.0185185,0.625
435,2.29707,0.0740741,0.42
440,1.963,0.0444444,0.545
445,1.96949,0.274074,0.63
450,2.60804,0.0185185,0.485
455,1.2556,0.0888889,0.68
460,2.04823,0.1,0.465
465,1.28749,0.192593,0.715
470,1.70598,0.507407,0.735
475,1.9619,0.0666667,0.53
480,1.84475,0.303704,0.715
485,2.31969,0.0703704,0.375
490,1.08635,0.125926,0.72
495,1.64363,0.540741,0.76
500,2.57965,0.0185185,0.59
505,1.7121,0.140741,0.51
510,1.48841,0.181481,0.59
515,1.11164,0.540741,0.795
520,1.8197,0.255556,0.49
525,0.940084,0.718518,0.875
530,2.11558,0.0296296,0.425
535,1.09384,0.707407,0.85
540,0.745069,0.707407,0.94
545,0.922348,0.855556,0.935
550,0.960602,0.185185,0.735
555,2.48914,0.133333,0.47
560,1.31734,0.0703704,0.61
565,1.37155,0.244444,0.605
570,1.13494,0.644444,0.81
575,0.793561,0.514815,0.85
580,0.993392,0.8,0.9
585,1.54772,0.0333333,0.61
590,0.773229,0.774074,0.91
595,1.64166,0.0555556,0.59
600,0.588133,0.762963,0.925
605,0.603342,0.937037,0.95
610,0.648389,0.588889,0.81
615,0.534566,0.9,0.96
620,0.32973,0.925926,0.97
625,0.636591,0.781482,0.875
630,1.4463,0.937037,0.655
635,0.568736,0.822222,0.955
640,0.602217,0.87037,0.95
645,0.216552,0.851852,0.985
650,0.323987,0.940741,0.975
655,0.254068,0.92963,0.98
660,0.215383,0.940741,0.99
665,0.363996,0.925926,0.975
670,0.199282,0.888889,0.975
675,0.285731,0.966667,0.985
680,0.651445,0.959259,0.865
685,0.625774,0.777778,0.885
690,0.29112,0.937037,0.985
695,0.15872,0.97037,0.99
700,0.245592,0.903704,0.99
705,0.131408,0.959259,0.99
710,0.181347,0.959259,0.99
715,0.166972,0.903704,0.99
720,0.110091,0.962963,1.0
725,0.120218,0.97037,1.0
730,0.134255,0.988889,0.985
735,0.137584,0.988889,0.995
740,0.0880436,0.974074,1.0
745,0.189307,0.962963,0.98
750,0.0734684,0.988889,0.995
755,0.151086,0.914815,0.975
760,1.03425,0.407407,0.695
765,0.187231,0.959259,1.0
770,0.193922,0.977778,0.99
775,0.124278,0.97037,1.0
780,0.0875158,0.974074,0.995
785,0.0984796,0.977778,1.0
790,0.0674152,0.974074,0.995
795,0.0841605,0.966667,1.0
800,0.0600423,0.974074,0.995
805,0.0745069,0.981481,1.0
810,0.0735775,0.985185,0.995
815,0.0537394,0.981481,0.995
820,0.0719232,0.988889,0.995
825,0.0357639,0.981481,0.995
830,0.0489496,0.981481,1.0
835,0.0448991,0.992593,1.0
840,0.0506488,0.985185,1.0
845,0.108714,0.937037,0.98
850,0.0724728,0.951852,0.995
855,0.0535037,0.981481,0.995
860,0.0265509,0.977778,1.0
865,0.0720572,0.992593,0.995
870,0.0444041,0.992593,1.0
875,0.03127,0.996296,1.0
880,0.032665,0.992593,0.995
885,0.0391042,0.985185,0.99
890,0.065761,0.992593,0.99
895,0.0328013,0.988889,1.0
900,0.0520677,0.985185,1.0
905,0.0238831,0.992593,1.0
910,0.0271728,0.985185,0.995
915,0.0369046,0.985185,1.0
920,0.0147183,0.985185,1.0
925,0.0948642,0.959259,1.0
930,0.0302199,0.985185,1.0
935,0.0215244,0.996296,1.0
940,0.0219555,0.988889,1.0
945,0.0150629,0.988889,1.0
950,0.0252723,0.992593,1.0
955,0.0358384,0.985185,0.995
960,6.4783,0.966667,0.625
965,0.042378,0.985185,1.0
970,0.0650019,0.988889,1.0
975,0.0439612,0.988889,1.0
980,0.0368503,0.992593,0.995
985,0.0461431,0.985185,1.0
990,0.0479345,0.985185,0.995
995,0.0276844,0.985185,1.0
1000,0.0350331,0.985185,1.0
1005,0.0279076,0.985185,1.0
1010,0.0382511,0.981481,1.0
1015,0.0149785,0.985185,1.0
1020,0.0351816,0.981481,0.995
1025,0.0111107,0.992593,1.0
1030,0.0224519,0.992593,1.0
1035,0.0146522,0.992593,1.0
1040,0.0152313,0.992593,1.0
1045,0.0170824,0.988889,1.0
1050,0.0157911,0.988889,1.0
1055,0.0172935,0.992593,1.0
1060,0.0186354,0.988889,1.0
1065,0.0274694,0.988889,0.995
1070,0.0198354,0.992593,0.995
1075,0.00902023,0.988889,1.0
1080,0.018401,0.992593,0.995
1085,0.00986485,0.992593,1.0
1090,0.0172606,0.996296,1.0
1095,0.0176784,0.988889,1.0
1100,0.00740288,0.992593,1.0
1105,0.0117705,0.988889,1.0
1110,0.0093163,0.988889,1.0
1115,0.0167356,0.988889,1.0
1120,0.0178963,0.992593,0.995
1125,0.0118429,0.992593,1.0
1130,0.0115965,0.992593,1.0
1135,0.0094806,0.988889,1.0
1140,0.0108512,1.0,1.0
1145,0.0117517,0.996296,1.0
1150,0.00895825,0.996296,1.0
1155,0.00929716,0.996296,1.0
1160,0.0089205,0.992593,1.0
1165,0.0100848,0.992593,1.0
1170,0.0077653,0.988889,1.0
1175,0.0100567,0.992593,1.0
1180,0.00728297,0.996296,1.0
1185,0.012218,0.996296,1.0
1190,0.00561221,0.992593,1.0
1195,0.0100521,0.985185,1.0
1200,0.0230923,0.988889,0.995
1205,0.00855961,0.992593,1.0
1210,0.0121919,0.992593,1.0
1215,0.0105663,0.992593,1.0
1220,0.0106839,0.988889,1.0
1225,0.00856336,0.992593,1.0
1230,0.00519081,0.992593,1.0
1235,0.0105202,0.988889,1.0
1240,0.00521523,0.992593,1.0
1245,0.00576454,0.992593,1.0
1250,0.00845583,0.988889,1.0
1255,0.010972,0.985185,1.0
1260,0.00468751,0.988889,1.0
1265,0.0109649,0.992593,0.995
1270,0.00929751,0.992593,1.0
1275,0.00783099,0.988889,1.0
1280,0.00426245,0.992593,1.0
1285,0.00440716,0.988889,1.0
1290,0.00744142,0.992593,1.0
1295,0.00892091,0.996296,1.0
1300,0.0032311,0.992593,1.0
1305,0.0185154,0.988889,0.995
1310,0.00965811,0.992593,1.0
1315,0.00490768,0.996296,1.0
1320,0.00454994,0.992593,1.0
1325,0.00223756,0.992593,1.0
1330,0.00986414,0.988889,1.0
1335,0.0081359,0.996296,1.0
1340,0.00814446,0.996296,1.0
1345,0.00288194,0.996296,1.0
1350,0.0043033,0.996296,1.0
1355,0.00621488,0.992593,1.0
1360,0.00588519,0.992593,1.0
1365,0.00799862,0.988889,1.0
1370,0.00730075,0.996296,1.0
1375,0.00667092,0.996296,1.0
1380,0.00351502,0.992593,1.0
1385,0.0544423,0.925926,0.985
1390,1.26607,0.133333,0.49
1395,0.0985178,0.933333,1.0
1400,0.0932739,0.985185,0.995
1405,0.0588586,0.988889,1.0
1410,0.0310706,0.996296,1.0
1415,0.0331697,0.996296,1.0
1420,0.0202091,0.992593,1.0
1425,0.0245864,0.996296,1.0
1430,0.0205049,0.985185,1.0
1435,0.0313567,0.992593,0.995
1440,0.0203376,0.996296,1.0
1445,0.0174323,0.992593,1.0
