times,cross,test-accuracy,train-accuracy
0,3.9943,0.0185185,0.015
5,3.29727,0.0185185,0.37
10,2.95241,0.0185185,0.465
15,2.51525,0.0185185,0.59
20,3.5981,0.0185185,0.265
25,2.31593,0.0185185,0.615
30,3.1085,0.0185185,0.43
35,2.44608,0.0185185,0.595
40,2.8008,0.0185185,0.515
45,2.84718,0.0185185,0.49
50,2.23924,0.0185185,0.65
55,3.44605,0.0185185,0.325
60,2.76905,0.0185185,0.555
65,2.94605,0.0185185,0.455
70,2.75431,0.0185185,0.505
75,2.67096,0.0185185,0.56
80,3.05404,0.0185185,0.43
85,2.18056,0.0185185,0.645
90,3.2692,0.0185185,0.41
95,2.53243,0.0185185,0.545
100,2.93573,0.0185185,0.51
105,2.87816,0.0185185,0.46
110,3.0709,0.0185185,0.485
115,3.19847,0.0185185,0.37
120,2.51465,0.0185185,0.595
125,2.96299,0.0185185,0.425
130,2.80469,0.0185185,0.5
135,2.29921,0.0185185,0.58
140,3.15919,0.0185185,0.37
145,2.1378,0.0185185,0.63
150,3.16609,0.0185185,0.39
155,2.14602,0.0185185,0.615
160,3.05336,0.0185185,0.44
165,2.63334,0.0185185,0.49
170,2.43889,0.0185185,0.57
175,3.01057,0.0185185,0.38
180,1.90487,0.0185185,0.68
185,3.1386,0.0185185,0.4
190,2.40448,0.0185185,0.555
195,2.40735,0.0185185,0.54
200,2.65568,0.0185185,0.48
205,2.29947,0.0185185,0.6
210,3.18498,0.0185185,0.325
215,1.95271,0.0185185,0.655
220,2.43985,0.0185185,0.51
225,2.60049,0.0185185,0.47
230,2.2904,0.0185185,0.595
235,2.82715,0.0185185,0.43
240,2.19208,0.0185185,0.645
245,3.10175,0.0185185,0.355
250,2.65926,0.0185185,0.56
255,2.84802,0.0185185,0.455
260,2.52502,0.0185185,0.495
265,2.20677,0.0185185,0.6
270,2.95884,0.0185185,0.375
275,2.26928,0.0185185,0.575
280,2.96408,0.0185185,0.385
285,2.42093,0.0185185,0.535
290,2.3084,0.0185185,0.545
295,2.88122,0.0185185,0.42
300,2.10919,0.0185185,0.6
305,3.16879,0.0185185,0.385
310,2.15227,0.0185185,0.565
315,2.64252,0.0185185,0.475
320,2.55089,0.0185185,0.53
325,2.2182,0.0185185,0.58
330,2.64549,0.0185185,0.455
335,1.86423,0.0185185,0.64
340,2.81531,0.0185185,0.4
345,2.47409,0.0185185,0.525
350,2.22194,0.0185185,0.53
355,2.5692,0.0185185,0.455
360,2.12901,0.0185185,0.56
365,3.35358,0.0185185,0.36
370,2.14246,0.0185185,0.61
375,2.79176,0.0185185,0.405
380,2.39854,0.0185185,0.585
385,2.01168,0.0185185,0.57
390,2.60557,0.0185185,0.425
395,2.51124,0.0185185,0.585
400,2.66686,0.0185185,0.425
405,1.96936,0.0185185,0.57
410,2.79818,0.0185185,0.435
415,2.83687,0.0185185,0.42
420,2.03663,0.0185185,0.565
425,3.34854,0.0185185,0.35
430,1.28887,0.0185185,0.745
435,3.25902,0.0185185,0.38
440,2.38588,0.0185185,0.465
445,2.73891,0.0185185,0.485
450,2.49955,0.0185185,0.475
455,1.81154,0.0185185,0.61
460,2.95513,0.0185185,0.365
465,1.76484,0.0185185,0.605
470,3.40889,0.0185185,0.425
475,2.3495,0.0185185,0.485
480,1.86602,0.0185185,0.585
485,3.0364,0.0185185,0.405
490,1.6749,0.0185185,0.635
495,3.44731,0.0185185,0.31
500,1.62947,0.0185185,0.63
505,2.29158,0.0185185,0.475
510,2.2511,0.0185185,0.52
515,1.76699,0.0185185,0.59
520,3.50464,0.0185185,0.285
525,1.46168,0.0185185,0.66
530,2.30368,0.0185185,0.445
535,2.26362,0.0185185,0.48
540,2.14847,0.0185185,0.505
545,2.65116,0.0185185,0.38
550,1.48665,0.0185185,0.65
555,2.70333,0.0185185,0.355
560,2.17901,0.0185185,0.56
565,2.45441,0.0185185,0.42
570,2.081,0.0185185,0.5
575,1.78894,0.0185185,0.57
580,2.2846,0.0185185,0.435
585,1.75113,0.0185185,0.645
590,2.51028,0.0185185,0.445
595,1.76777,0.0185185,0.585
600,2.10738,0.0185185,0.485
605,2.40621,0.0185185,0.415
610,1.57481,0.0185185,0.615
615,2.51464,0.0185185,0.37
620,1.94504,0.0185185,0.525
625,2.36925,0.0185185,0.425
630,2.04666,0.0259259,0.5
635,1.76218,0.0185185,0.555
640,2.43607,0.0296296,0.395
645,1.49933,0.0296296,0.63
650,2.56256,0.0666667,0.375
655,2.83433,0.0185185,0.55
660,2.20931,0.0185185,0.48
665,2.05103,0.0185185,0.495
670,1.69068,0.0185185,0.585
675,3.76258,0.0592593,0.33
680,1.58782,0.0185185,0.605
685,2.56133,0.0333333,0.36
690,2.00135,0.0296296,0.51
695,2.18676,0.0592593,0.47
700,2.07694,0.0481481,0.49
705,1.52477,0.0518519,0.63
710,2.62746,0.0851852,0.37
715,1.51936,0.0888889,0.66
720,1.87404,0.0925926,0.57
725,1.90527,0.1,0.59
730,1.73116,0.1,0.585
735,2.65832,0.103704,0.42
740,1.60042,0.114815,0.63
745,2.1953,0.0925926,0.53
750,1.77689,0.133333,0.625
755,1.94799,0.125926,0.555
760,2.34242,0.118519,0.47
765,1.40404,0.125926,0.7
770,2.61128,0.111111,0.43
775,1.8635,0.0222222,0.555
780,2.63852,0.0185185,0.41
785,1.75258,0.037037,0.565
790,1.65501,0.0888889,0.615
795,2.23407,0.144444,0.485
800,1.54512,0.118519,0.645
805,2.47649,0.155556,0.445
810,1.68782,0.122222,0.64
815,1.89225,0.177778,0.595
820,2.23647,0.166667,0.515
825,1.88756,0.166667,0.585
830,2.30764,0.166667,0.525
835,1.34843,0.162963,0.71
840,2.16611,0.174074,0.515
845,1.81827,0.17037,0.6
850,1.96285,0.144444,0.605
855,2.15382,0.162963,0.535
860,1.35741,0.181481,0.72
865,2.40347,0.181481,0.52
870,1.77924,0.166667,0.63
875,2.07745,0.188889,0.595
880,1.66871,0.177778,0.63
885,1.95132,0.114815,0.625
890,2.48145,0.0185185,0.39
895,1.29095,0.0925926,0.69
900,2.44814,0.218519,0.51
905,1.90528,0.225926,0.59
910,1.81323,0.233333,0.66
915,2.01025,0.251852,0.585
920,1.6084,0.218519,0.675
925,2.25467,0.22963,0.53
930,1.42624,0.218519,0.71
935,2.14461,0.237037,0.58
940,1.76885,0.225926,0.645
945,1.76319,0.251852,0.66
950,2.13001,0.248148,0.565
955,1.41177,0.274074,0.74
960,2.28121,0.185185,0.49
965,1.75757,0.0185185,0.56
970,2.16259,0.277778,0.575
975,2.14433,0.311111,0.57
980,1.80355,0.337037,0.62
985,2.26616,0.311111,0.545
990,1.2637,0.37037,0.78
995,2.22904,0.322222,0.57
1000,1.73875,0.32963,0.695
1005,1.55305,0.322222,0.725
1010,1.89999,0.318519,0.685
1015,1.50316,0.340741,0.785
1020,2.30288,0.340741,0.62
1025,1.39039,0.388889,0.8
1030,2.02221,0.325926,0.615
1035,1.75372,0.355556,0.72
1040,1.60609,0.351852,0.745
1045,1.87643,0.392593,0.67
1050,1.21244,0.440741,0.84
1055,2.29914,0.288889,0.555
1060,2.33451,0.0185185,0.595
1065,1.97241,0.392593,0.69
1070,2.00569,0.492593,0.76
1075,1.47997,0.448148,0.735
1080,2.11905,0.496296,0.695
1085,1.35071,0.488889,0.82
1090,2.05358,0.488889,0.695
1095,1.62077,0.507407,0.77
1100,1.60516,0.488889,0.8
1105,1.96888,0.47037,0.685
1110,1.34533,0.511111,0.86
1115,1.97077,0.5,0.69
1120,1.5741,0.566667,0.805
1125,2.05676,0.0740741,0.505
1130,1.78335,0.559259,0.765
1135,1.4554,0.592593,0.84
1140,2.1508,0.592593,0.72
1145,1.06444,0.596296,0.87
1150,2.02971,0.585185,0.74
1155,1.35439,0.644444,0.825
1160,1.41549,0.611111,0.815
1165,2.36288,0.0296296,0.445
1170,1.12391,0.540741,0.85
1175,2.04001,0.677778,0.73
1180,1.33963,0.648148,0.845
1185,1.77811,0.62963,0.795
1190,1.33228,0.677778,0.855
