times,cross,test-accuracy,train-accuracy
960,0.230692,0.992593,1.0
965,0.18855,0.985185,0.995
970,0.142754,0.962963,0.99
975,0.202083,0.966667,0.975
980,0.114141,0.97037,0.995
985,0.17929,0.992593,1.0
990,0.0837525,0.981481,1.0
995,0.14332,0.992593,0.995
1000,0.1209,0.988889,0.995
1005,0.103657,0.988889,0.995
1010,0.121392,0.985185,0.99
1015,0.0684561,0.988889,1.0
1020,0.132514,0.992593,1.0
1025,0.0779633,0.988889,0.995
1030,0.0974663,0.981481,0.995
1035,0.0788479,0.988889,1.0
1040,0.0578087,0.996296,1.0
1045,0.411638,0.955556,0.885
1050,0.923426,0.433333,0.8
1055,0.33852,0.992593,0.995
1060,0.118883,0.996296,1.0
1065,0.137583,0.992593,0.99
1070,0.0844357,0.996296,1.0
1075,0.0621279,0.992593,1.0
1080,0.109964,0.992593,0.995
1085,0.0435257,0.996296,1.0
1090,0.0664213,0.985185,1.0
1095,0.0540014,0.996296,1.0
1100,0.0701132,0.992593,1.0
1105,0.0640833,0.988889,1.0
1110,0.0372886,0.977778,0.995
1115,0.0604924,0.992593,1.0
1120,0.0384698,0.992593,1.0
1125,0.0531272,0.988889,0.995
1130,0.0555878,0.992593,1.0
1135,0.0575028,0.988889,0.99
1140,0.059907,0.996296,1.0
1145,0.0303696,0.992593,1.0
1150,0.0457231,0.992593,1.0
1155,0.0348577,0.996296,1.0
1160,0.0386296,0.992593,1.0
1165,0.0624912,0.981481,0.985
1170,0.0280824,0.996296,1.0
1175,0.0574476,0.996296,0.995
1180,0.0302195,0.996296,1.0
1185,0.0385956,0.992593,1.0
1190,0.0520452,0.988889,0.995
1195,0.024953,0.992593,1.0
1200,0.0358482,0.996296,1.0
1205,0.0254132,0.996296,1.0
1210,0.0500807,0.996296,0.995
1215,0.0414961,0.996296,0.995
1220,0.030374,0.996296,1.0
1225,0.0525284,0.985185,1.0
1230,0.030551,0.996296,1.0
1235,0.0517052,0.996296,0.995
1240,0.0164007,0.992593,1.0
1245,0.0300819,0.996296,1.0
1250,0.022663,0.996296,1.0
1255,0.022581,0.996296,1.0
1260,0.0245428,0.996296,1.0
1265,0.0215149,0.996296,1.0
1270,0.0348951,0.996296,1.0
1275,0.0284629,0.996296,0.995
1280,0.0246978,0.996296,1.0
1285,0.030149,0.996296,0.995
1290,0.0207015,0.996296,1.0
1295,0.0255281,0.996296,1.0
1300,0.0156067,0.996296,1.0
1305,0.0200558,0.996296,1.0
1310,0.0226014,0.996296,1.0
1315,0.0313426,0.996296,1.0
1320,0.0244786,0.988889,1.0
1325,0.0257256,0.996296,1.0
1330,0.0264063,0.996296,1.0
1335,0.0173009,0.996296,0.995
1340,0.0213906,0.996296,1.0
1345,0.0153882,0.996296,1.0
1350,0.0177828,0.996296,1.0
1355,0.0312387,0.992593,0.995
1360,0.0132705,0.996296,1.0
1365,0.0256526,0.996296,1.0
1370,0.0215538,0.996296,0.995
1375,0.0172331,0.996296,1.0
1380,0.0211583,0.996296,0.995
1385,0.0154888,0.996296,1.0
1390,0.0182384,0.996296,1.0
1395,0.0189342,0.996296,0.995
1400,0.0207426,0.996296,1.0
1405,0.0139454,0.996296,1.0
1410,0.0131009,0.996296,1.0
1415,0.0348737,0.996296,0.985
1420,0.0104399,0.996296,1.0
1425,0.0226021,0.996296,1.0
1430,0.00996593,0.996296,1.0
1435,0.0180324,0.996296,1.0
1440,0.0184863,0.996296,0.995
1445,0.00859742,0.996296,1.0
1450,0.0324985,0.996296,0.99
1455,0.0130402,0.981481,0.995
1460,0.0140074,0.996296,1.0
1465,0.0226485,0.996296,0.99
1470,0.00914958,0.996296,1.0
1475,0.0142588,0.996296,0.995
1480,0.00868527,0.996296,1.0
1485,0.0184173,0.996296,1.0
1490,0.0102195,0.996296,1.0
1495,0.0149674,0.992593,1.0
1500,0.0162272,0.996296,0.995
1505,0.00707202,0.996296,1.0
1510,0.022374,0.996296,0.995
1515,0.00948638,0.996296,1.0
1520,0.0149372,0.996296,1.0
1525,0.00597099,0.996296,1.0
1530,0.0125002,0.996296,1.0
1535,0.011736,0.996296,1.0
1540,0.0124777,0.996296,1.0
1545,0.0129175,0.996296,1.0
1550,0.0108679,0.996296,0.995
1555,0.0109368,0.996296,1.0
1560,0.00769379,0.996296,1.0
1565,0.00893991,0.996296,1.0
1570,0.0100567,0.996296,1.0
1575,0.00643972,0.996296,1.0
1580,0.0143562,0.996296,1.0
1585,0.00492703,0.996296,1.0
1590,0.0109723,0.996296,1.0
1595,0.0113886,0.996296,1.0
1600,0.00846201,0.996296,1.0
1605,0.0118646,0.996296,1.0
1610,0.00570984,0.996296,1.0
1615,0.0198731,0.996296,0.995
1620,0.0118691,0.996296,0.995
1625,0.00807541,0.992593,1.0
1630,0.0161527,0.996296,0.995
1635,0.00554759,0.996296,1.0
1640,0.0187467,0.996296,0.995
1645,0.00626832,0.996296,1.0
1650,0.0101529,0.996296,1.0
1655,0.00871959,0.996296,1.0
1660,0.012009,0.996296,0.995
1665,0.00751167,0.996296,1.0
1670,0.0104046,0.996296,0.995
1675,0.0105091,0.996296,1.0
1680,0.00626473,0.996296,1.0
1685,0.0086821,0.996296,1.0
1690,0.00892926,0.996296,1.0
1695,0.00601711,0.996296,1.0
1700,0.0101029,0.996296,1.0
1705,0.0082047,0.996296,0.995
1710,0.0116145,0.996296,0.995
1715,0.0188455,0.996296,0.995
1720,0.00825348,0.996296,1.0
1725,0.00727361,0.996296,1.0
1730,0.0074533,0.996296,1.0
1735,0.00957062,0.996296,1.0
1740,0.0102662,0.996296,0.995
1745,0.0149255,0.996296,0.995
1750,0.00619724,0.996296,1.0
1755,0.00556483,0.996296,1.0
1760,0.0126812,0.996296,1.0
1765,0.0069917,0.996296,1.0
1770,0.00901344,0.996296,1.0
1775,0.00817726,0.996296,1.0
1780,0.00443683,0.996296,1.0
1785,0.00636244,0.996296,1.0
1790,0.00768708,0.996296,1.0
1795,0.00825236,0.996296,1.0
1800,0.0100224,0.996296,1.0
1805,0.018917,0.996296,0.99
1810,0.00378016,0.996296,1.0
1815,0.00544323,0.996296,1.0
1820,0.00801884,0.996296,1.0
1825,0.00600651,0.996296,1.0
1830,0.0151512,0.996296,0.995
1835,0.00309287,0.996296,1.0
1840,0.00876807,0.996296,1.0
1845,0.0056242,0.996296,1.0
1850,0.00379991,0.996296,1.0
1855,0.00760591,0.996296,1.0
1860,0.0122983,0.996296,0.99
1865,0.0060958,0.996296,1.0
1870,0.0040225,0.996296,1.0
1875,0.00327923,0.996296,1.0
1880,0.00815801,0.996296,0.995
1885,0.00349776,0.996296,1.0
1890,0.00844526,0.996296,1.0
1895,0.00738572,0.996296,1.0
1900,0.00556012,0.996296,1.0
1905,0.00531955,0.996296,1.0
1910,0.00302908,0.996296,1.0
1915,0.00529477,0.996296,1.0
1920,0.00214686,0.996296,1.0
1925,0.00751383,0.996296,1.0
1930,0.00217749,0.996296,1.0
1935,0.0026822,0.996296,1.0
1940,0.00366319,0.996296,1.0
1945,0.00645603,0.996296,1.0
1950,0.00478389,0.996296,1.0
1955,0.00347423,0.996296,1.0
1960,0.00382593,0.996296,1.0
1965,0.00340054,0.996296,1.0
1970,0.00323146,0.996296,1.0
1975,0.00325158,0.996296,1.0
1980,0.00281591,0.996296,1.0
1985,0.00824382,0.996296,1.0
1990,0.00638191,0.996296,0.995
1995,0.00671188,0.996296,1.0
