times,cross,test-accuracy,train-accuracy
0,3.97151,0.0185185,0.025
50,2.19462,0.0185185,0.615
100,2.45334,0.0185185,0.555
150,3.14781,0.0185185,0.375
200,3.08915,0.0185185,0.39
250,2.15805,0.0185185,0.63
300,1.91576,0.0185185,0.68
350,2.73528,0.0185185,0.485
400,3.03595,0.0185185,0.405
450,2.96311,0.0185185,0.425
500,2.62555,0.0185185,0.515
550,2.00211,0.0185185,0.665
600,2.40555,0.0185185,0.565
650,3.19719,0.0185185,0.365
700,2.91317,0.0185185,0.44
750,2.60478,0.0185185,0.52
800,2.06351,0.0185185,0.65
850,2.50989,0.0185185,0.54
900,3.31302,0.0185185,0.335
950,2.92506,0.0185185,0.435
1000,2.81215,0.0185185,0.465
1050,1.99879,0.0185185,0.665
1100,2.63095,0.0185185,0.51
1150,3.26717,0.0185185,0.35
1200,2.84099,0.0185185,0.455
1250,2.52684,0.0185185,0.54
1300,2.06788,0.0185185,0.65
1350,2.58889,0.0185185,0.52
1400,3.11695,0.0185185,0.39
1450,2.9821,0.0185185,0.42
1500,2.64833,0.0185185,0.51
1550,2.00782,0.0185185,0.665
1600,2.58592,0.0185185,0.52
1650,3.18295,0.0185185,0.37
1700,3.04181,0.0185185,0.405
1750,2.41407,0.0185185,0.57
1800,1.88706,0.0185185,0.695
1850,2.7171,0.0185185,0.49
1900,2.9702,0.0185185,0.425
1950,3.2437,0.0185185,0.35
2000,2.64868,0.0185185,0.51
2050,2.06852,0.0185185,0.65
2100,2.78946,0.0185185,0.47
2150,2.88776,0.0185185,0.445
2200,3.06978,0.0185185,0.4
2250,2.46684,0.0185185,0.555
2300,2.21958,0.0185185,0.615
2350,2.55335,0.0185185,0.53
2400,2.83283,0.0185185,0.46
2450,3.34445,0.0185185,0.325
2500,2.41152,0.0185185,0.57
2550,2.03886,0.0185185,0.66
2600,2.67988,0.0185185,0.5
2650,2.73795,0.0185185,0.485
2700,3.32558,0.0185185,0.33
2750,2.73882,0.0185185,0.485
2800,2.38672,0.0185185,0.575
2850,2.42851,0.0185185,0.56
2900,3.0501,0.0185185,0.405
2950,3.14953,0.0185185,0.38
