times,cross,test-accuracy,train-accuracy
0,3.96401,0.0222222,0.03
50,9.32547,0.0185185,0.595
100,12.7793,0.0185185,0.445
150,14.0458,0.0185185,0.39
200,13.5853,0.0185185,0.41
250,8.98008,0.0185185,0.61
300,10.2465,0.0185185,0.555
350,13.2399,0.0185185,0.425
400,14.8517,0.0185185,0.355
450,12.7793,0.0185185,0.445
500,11.0524,0.0185185,0.52
550,8.40444,0.0185185,0.635
600,10.1314,0.0185185,0.56
650,13.7004,0.0185185,0.405
700,13.4701,0.0185185,0.415
750,9.78599,0.0185185,0.575
800,7.94392,0.0185185,0.655
850,11.6281,0.0185185,0.495
900,3.0343,0.0185185,0.405
950,2.86631,0.0185185,0.45
1000,2.53393,0.0185185,0.535
1050,2.17843,0.0185185,0.62
1100,2.56565,0.0185185,0.525
1150,3.00355,0.0185185,0.415
1200,2.95951,0.0185185,0.425
1250,2.41963,0.0185185,0.565
1300,2.13451,0.0185185,0.63
1350,2.8917,0.0185185,0.445
1400,3.18354,0.0185185,0.365
1450,3.10751,0.0185185,0.385
1500,2.5584,0.0185185,0.53
1550,2.41011,0.0185185,0.565
1600,2.57158,0.0185185,0.525
1650,2.84883,0.0185185,0.455
1700,3.10851,0.0185185,0.385
1750,2.3095,0.0185185,0.595
1800,2.07016,0.0185185,0.65
1850,2.7968,0.0185185,0.47
1900,2.96843,0.0185185,0.425
1950,3.05941,0.0185185,0.4
2000,2.32412,0.0185185,0.59
2050,1.97609,0.0185185,0.67
2100,2.59054,0.0185185,0.52
2150,3.01117,0.0185185,0.415
2200,3.10291,0.0185185,0.39
2250,2.48109,0.0185185,0.55
2300,2.18313,0.0185185,0.62
2350,2.60975,0.0185185,0.515
2400,2.80126,0.0185185,0.465
2450,3.28295,0.0185185,0.34
2500,2.68485,0.0185185,0.5
2550,2.18981,0.0185185,0.62
2600,2.65135,0.0185185,0.505
2650,2.69325,0.0185185,0.495
2700,3.27169,0.0185185,0.345
2750,2.6858,0.0185185,0.5
2800,2.19392,0.0185185,0.62
2850,2.4307,0.0185185,0.56
2900,2.8946,0.0185185,0.445
2950,3.369,0.0185185,0.315
