times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_7700,0.0891091,0.0299146,0.0120713,0.00344179,0.00223817,0.0099753,0.447825,,times_7700,0.862963,0.833333,0.925926,0.92963,0.892593,0.855556,0.851852
times_7750,0.088286,0.0296412,0.0119656,0.00341407,0.00221965,0.00966117,0.4478,,times_7750,0.862963,0.837037,0.925926,0.92963,0.892593,0.855556,0.851852
times_7800,0.0874747,0.0293723,0.0118616,0.00338676,0.0022014,0.00935775,0.447775,,times_7800,0.862963,0.837037,0.925926,0.92963,0.892593,0.855556,0.851852
times_7850,0.0866749,0.0291076,0.0117593,0.00335986,0.00218343,0.00906464,0.44775,,times_7850,0.862963,0.837037,0.925926,0.92963,0.892593,0.855556,0.851852
times_7900,0.0858864,0.0288472,0.0116586,0.00333336,0.00216574,0.00878147,0.447725,,times_7900,0.862963,0.837037,0.92963,0.92963,0.892593,0.855556,0.851852
times_7950,0.0851089,0.0285909,0.0115595,0.00330725,0.00214831,0.00850786,0.447701,,times_7950,0.862963,0.837037,0.92963,0.92963,0.892593,0.855556,0.851852
times_8000,0.0843423,0.0283386,0.011462,0.00328153,0.00213113,0.00824347,0.447677,,times_8000,0.862963,0.837037,0.92963,0.92963,0.892593,0.855556,0.851852
times_8050,0.0835864,0.0280903,0.0113659,0.00325618,0.00211421,0.00798795,0.447654,,times_8050,0.862963,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8100,0.082841,0.0278458,0.0112713,0.00323119,0.00209755,0.00774098,0.447631,,times_8100,0.862963,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8150,0.0821058,0.0276051,0.0111782,0.00320656,0.00208112,0.00750225,0.447608,,times_8150,0.866667,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8200,0.0813807,0.0273681,0.0110865,0.00318229,0.00206493,0.00727145,0.447585,,times_8200,0.87037,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8250,0.0806655,0.0271347,0.0109962,0.00315837,0.00204898,0.00704827,0.447563,,times_8250,0.87037,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8300,0.0799599,0.0269048,0.0109072,0.00313477,0.00203326,0.00683244,0.447541,,times_8300,0.87037,0.837037,0.92963,0.92963,0.896296,0.855556,0.851852
times_8350,0.079264,0.0266784,0.0108196,0.00311151,0.00201775,0.00662371,0.44752,,times_8350,0.87037,0.837037,0.92963,0.92963,0.896296,0.859259,0.851852
times_8400,0.0785773,0.0264554,0.0107332,0.00308857,0.00200247,0.00642181,0.447499,,times_8400,0.87037,0.837037,0.92963,0.92963,0.896296,0.859259,0.851852
times_8450,0.0778998,0.0262356,0.0106481,0.00306595,0.0019874,0.00622649,0.447478,,times_8450,0.87037,0.837037,0.92963,0.92963,0.896296,0.859259,0.851852
times_8500,0.0772314,0.0260192,0.0105643,0.00304364,0.00197254,0.00603751,0.447457,,times_8500,0.87037,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8550,0.0765718,0.0258059,0.0104817,0.00302163,0.00195789,0.00585464,0.447437,,times_8550,0.87037,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8600,0.0759208,0.0255957,0.0104003,0.00299992,0.00194344,0.00567766,0.447416,,times_8600,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8650,0.0752785,0.0253885,0.01032,0.00297851,0.00192919,0.00550637,0.447396,,times_8650,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8700,0.0746445,0.0251843,0.0102409,0.00295738,0.00191513,0.00534055,0.447377,,times_8700,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8750,0.0740188,0.0249831,0.0101629,0.00293653,0.00190127,0.00518004,0.447358,,times_8750,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8800,0.0734011,0.0247847,0.010086,0.00291596,0.00188758,0.00502461,0.447339,,times_8800,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8850,0.0727915,0.0245892,0.0100101,0.00289565,0.00187408,0.00487412,0.44732,,times_8850,0.874074,0.840741,0.92963,0.92963,0.896296,0.859259,0.851852
times_8900,0.0721896,0.0243963,0.00993536,0.00287562,0.00186076,0.00472838,0.447301,,times_8900,0.874074,0.840741,0.92963,0.933333,0.896296,0.859259,0.851852
times_8950,0.0715956,0.0242062,0.00986161,0.00285585,0.00184762,0.00458722,0.447283,,times_8950,0.874074,0.840741,0.92963,0.933333,0.896296,0.859259,0.851852
times_9000,0.071009,0.0240187,0.00978887,0.00283632,0.00183464,0.0044505,0.447265,,times_9000,0.874074,0.840741,0.92963,0.933333,0.896296,0.859259,0.851852
times_9050,0.0704298,0.0238338,0.00971712,0.00281705,0.00182184,0.00431805,0.447247,,times_9050,0.874074,0.840741,0.92963,0.933333,0.896296,0.862963,0.851852
times_9100,0.069858,0.0236515,0.00964636,0.00279803,0.00180921,0.00418975,0.44723,,times_9100,0.874074,0.840741,0.92963,0.933333,0.896296,0.862963,0.851852
times_9150,0.0692933,0.0234716,0.00957654,0.00277925,0.00179673,0.00406544,0.447212,,times_9150,0.874074,0.840741,0.92963,0.933333,0.896296,0.862963,0.851852
times_9200,0.0687358,0.0232942,0.00950766,0.0027607,0.00178442,0.00394499,0.447195,,times_9200,0.874074,0.840741,0.933333,0.933333,0.896296,0.862963,0.851852
times_9250,0.0681852,0.0231192,0.00943969,0.00274239,0.00177226,0.00382828,0.447178,,times_9250,0.874074,0.840741,0.933333,0.933333,0.896296,0.862963,0.851852
times_9300,0.0676414,0.0229465,0.00937262,0.0027243,0.00176026,0.00371517,0.447161,,times_9300,0.874074,0.840741,0.933333,0.933333,0.896296,0.866667,0.851852
times_9350,0.0671044,0.0227761,0.00930643,0.00270644,0.00174841,0.00360556,0.447145,,times_9350,0.874074,0.840741,0.933333,0.933333,0.896296,0.866667,0.851852
times_9400,0.0665739,0.022608,0.0092411,0.0026888,0.00173671,0.00349931,0.447128,,times_9400,0.87037,0.840741,0.933333,0.933333,0.896296,0.866667,0.851852
times_9450,0.06605,0.0224422,0.00917661,0.00267138,0.00172516,0.00339633,0.447113,,times_9450,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9500,0.0655325,0.0222785,0.00911298,0.00265417,0.00171374,0.0032965,0.447096,,times_9500,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9550,0.0650214,0.0221169,0.00905014,0.00263716,0.00170247,0.00319973,0.447081,,times_9550,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9600,0.0645164,0.0219574,0.00898812,0.00262036,0.00169134,0.00310591,0.447065,,times_9600,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9650,0.0640175,0.0218,0.00892688,0.00260377,0.00168034,0.00301497,0.44705,,times_9650,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9700,0.0635247,0.0216446,0.00886642,0.00258737,0.00166947,0.00292679,0.447035,,times_9700,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9750,0.0630378,0.0214912,0.0088067,0.00257117,0.00165874,0.00284128,0.44702,,times_9750,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9800,0.0625566,0.0213397,0.00874775,0.00255516,0.00164814,0.00275837,0.447005,,times_9800,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9850,0.0620813,0.0211902,0.00868952,0.00253933,0.00163765,0.00267798,0.44699,,times_9850,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9900,0.0616116,0.0210425,0.00863201,0.00252369,0.0016273,0.00260001,0.446976,,times_9900,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
times_9950,0.0611474,0.0208967,0.00857521,0.00250823,0.00161707,0.0025244,0.446962,,times_9950,0.87037,0.844444,0.933333,0.933333,0.896296,0.87037,0.851852
