times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_0,0.742998,0.738335,0.733769,0.72477,0.712497,0.72293,0.719489,,times_0,0.0666667,0.0333333,0.0666667,0.15,0.1,0.05,0.05
times_50,0.169882,0.126861,0.126188,0.124724,0.124742,0.124162,0.162691,,times_50,0.15,0.15,0.15,0.15,0.1,0.15,0.1
times_100,0.128422,0.126281,0.12769,0.127035,0.122773,0.126195,0.133324,,times_100,0.15,0.15,0.15,0.166667,0.166667,0.15,0.15
times_150,0.126351,0.125504,0.127298,0.127928,0.122085,0.126846,0.125315,,times_150,0.15,0.15,0.15,0.166667,0.15,0.15,0.15
times_200,0.126476,0.126879,0.126917,0.127012,0.12249,0.126118,0.126784,,times_200,0.15,0.25,0.15,0.15,0.15,0.15,0.15
times_250,0.127414,0.126954,0.127238,0.127823,0.121246,0.126154,0.126328,,times_250,0.15,0.316667,0.15,0.1,0.1,0.15,0.15
times_300,0.126648,0.127229,0.127421,0.126495,0.122197,0.127565,0.125693,,times_300,0.15,0.183333,0.15,0.15,0.15,0.15,0.15
times_350,0.125502,0.127023,0.126513,0.127541,0.123027,0.125857,0.12607,,times_350,0.15,0.183333,0.15,0.1,0.15,0.15,0.166667
times_400,0.126634,0.127177,0.127741,0.127008,0.120668,0.128048,0.125886,,times_400,0.15,0.183333,0.1,0.15,0.15,0.15,0.166667
times_450,0.127692,0.128552,0.128,0.128518,0.122826,0.128534,0.128752,,times_450,0.15,0.266667,0.15,0.15,0.15,0.15,0.15
times_500,0.128095,0.127226,0.129592,0.12889,0.122138,0.126376,0.127873,,times_500,0.15,0.316667,0.15,0.15,0.1,0.15,0.15
times_550,0.125695,0.127493,0.128692,0.127622,0.121682,0.127353,0.127781,,times_550,0.15,0.316667,0.15,0.15,0.15,0.15,0.15
times_600,0.126746,0.127673,0.127964,0.128358,0.12211,0.128128,0.129671,,times_600,0.15,0.316667,0.15,0.15,0.15,0.15,0.15
times_650,0.127055,0.126383,0.128499,0.128225,0.12235,0.12763,0.126481,,times_650,0.15,0.316667,0.15,0.15,0.1,0.15,0.15
times_700,0.128136,0.127378,0.127826,0.127831,0.122209,0.126313,0.126151,,times_700,0.15,0.316667,0.15,0.15,0.15,0.15,0.15
times_750,0.126741,0.127226,0.129204,0.128894,0.12184,0.128641,0.126462,,times_750,0.15,0.15,0.15,0.1,0.15,0.15,0.15
times_800,0.126722,0.12829,0.127728,0.129688,0.122147,0.12804,0.126339,,times_800,0.15,0.15,0.15,0.15,0.15,0.15,0.15
times_850,0.127136,0.12724,0.129015,0.127876,0.122302,0.127343,0.125309,,times_850,0.15,0.15,0.15,0.15,0.15,0.15,0.15
times_900,0.128105,0.126988,0.127038,0.129263,0.120673,0.127682,0.126616,,times_900,0.15,0.15,0.15,0.1,0.1,0.15,0.15
times_950,0.12752,0.128062,0.127315,0.130186,0.122418,0.12792,0.125591,,times_950,0.15,0.15,0.15,0.15,0.15,0.15,0.1
times_1000,0.126516,0.127673,0.128341,0.127545,0.122839,0.127305,0.125072,,times_1000,0.15,0.15,0.15,0.15,0.166667,0.15,0.15
times_1050,0.127764,,times_1050,0.15
times_1100,0.128091,,times_1100,0.15
times_1150,0.128581,,times_1150,0.15
times_1200,0.124737,,times_1200,0.15
times_1250,0.127215,,times_1250,0.1
times_1300,0.125804,,times_1300,0.15
times_1350,0.127408,,times_1350,0.15
times_1400,0.124822,,times_1400,0.15
times_1450,0.125856,,times_1450,0.15
times_1500,0.12729,,times_1500,0.1
times_1550,,times_1550
times_1600,,times_1600
times_1650,,times_1650
times_1700,,times_1700
times_1750,,times_1750
times_1800,,times_1800
times_1850,,times_1850
times_1900,,times_1900
times_1950,,times_1950
times_2000,,times_2000
times_2050,,times_2050
times_2100,,times_2100
times_2150,,times_2150
times_2200,,times_2200
times_2250,,times_2250
times_2300,,times_2300
times_2350,,times_2350
times_2400,,times_2400
times_2450,,times_2450
times_2500,,times_2500
times_2550,,times_2550
times_2600,,times_2600
times_2650,,times_2650
times_2700,,times_2700
times_2750,,times_2750
times_2800,,times_2800
times_2850,,times_2850
times_2900,,times_2900
times_2950,,times_2950
times_3000,,times_3000
times_3050,,times_3050
times_3100,,times_3100
times_3150,,times_3150
times_3200,,times_3200
times_3250,,times_3250
times_3300,,times_3300
times_3350,,times_3350
times_3400,,times_3400
times_3450,,times_3450
times_3500,,times_3500
times_3550,,times_3550
times_3600,,times_3600
times_3650,,times_3650
times_3700,,times_3700
times_3750,,times_3750
times_3800,,times_3800
times_3850,,times_3850
times_3900,,times_3900
times_3950,,times_3950
times_4000,,times_4000
times_4050,,times_4050
times_4100,,times_4100
times_4150,,times_4150
times_4200,,times_4200
times_4250,,times_4250
times_4300,,times_4300
times_4350,,times_4350
times_4400,,times_4400
times_4450,,times_4450
times_4500,,times_4500
times_4550,,times_4550
times_4600,,times_4600
times_4650,,times_4650
times_4700,,times_4700
times_4750,,times_4750
times_4800,,times_4800
times_4850,,times_4850
times_4900,,times_4900
times_4950,,times_4950
times_5000,,times_5000
times_5050,,times_5050
times_5100,,times_5100
times_5150,,times_5150
times_5200,,times_5200
times_5250,,times_5250
times_5300,,times_5300
times_5350,,times_5350
times_5400,,times_5400
times_5450,,times_5450
times_5500,,times_5500
times_5550,,times_5550
times_5600,,times_5600
times_5650,,times_5650
times_5700,,times_5700
times_5750,,times_5750
times_5800,,times_5800
times_5850,,times_5850
times_5900,,times_5900
times_5950,,times_5950
times_6000,,times_6000
times_6050,,times_6050
times_6100,,times_6100
times_6150,,times_6150
times_6200,,times_6200
times_6250,,times_6250
times_6300,,times_6300
times_6350,,times_6350
times_6400,,times_6400
times_6450,,times_6450
times_6500,,times_6500
times_6550,,times_6550
times_6600,,times_6600
times_6650,,times_6650
times_6700,,times_6700
times_6750,,times_6750
times_6800,,times_6800
times_6850,,times_6850
times_6900,,times_6900
times_6950,,times_6950
times_7000,,times_7000
times_7050,,times_7050
times_7100,,times_7100
times_7150,,times_7150
times_7200,,times_7200
times_7250,,times_7250
times_7300,,times_7300
times_7350,,times_7350
times_7400,,times_7400
times_7450,,times_7450
times_7500,,times_7500
times_7550,,times_7550
times_7600,,times_7600
times_7650,,times_7650
times_7700,,times_7700
times_7750,,times_7750
times_7800,,times_7800
times_7850,,times_7850
times_7900,,times_7900
times_7950,,times_7950
times_8000,,times_8000
times_8050,,times_8050
times_8100,,times_8100
times_8150,,times_8150
times_8200,,times_8200
times_8250,,times_8250
times_8300,,times_8300
times_8350,,times_8350
times_8400,,times_8400
times_8450,,times_8450
times_8500,,times_8500
times_8550,,times_8550
times_8600,,times_8600
times_8650,,times_8650
times_8700,,times_8700
times_8750,,times_8750
times_8800,,times_8800
times_8850,,times_8850
times_8900,,times_8900
times_8950,,times_8950
times_9000,,times_9000
times_9050,,times_9050
times_9100,,times_9100
times_9150,,times_9150
times_9200,,times_9200
times_9250,,times_9250
times_9300,,times_9300
times_9350,,times_9350
times_9400,,times_9400
times_9450,,times_9450
times_9500,,times_9500
times_9550,,times_9550
times_9600,,times_9600
times_9650,,times_9650
times_9700,,times_9700
times_9750,,times_9750
times_9800,,times_9800
times_9850,,times_9850
times_9900,,times_9900
times_9950,,times_9950
