times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_8150,0.310304,0.205734,0.376681,0.484897,0.0401716,1.2922,0.0538026,,times_8150,0.814815,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
times_8200,0.309164,0.204898,0.376122,0.484593,0.0399597,1.28711,0.0535189,,times_8200,0.814815,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
times_8250,0.308036,0.20407,0.375569,0.484292,0.0397502,1.28209,0.0532382,,times_8250,0.814815,0.87037,0.851852,0.851852,0.896296,0.696296,0.9
times_8300,0.306919,0.203249,0.375021,0.483994,0.0395429,1.27713,0.0529606,,times_8300,0.822222,0.87037,0.851852,0.851852,0.896296,0.696296,0.9
times_8350,0.305813,0.202437,0.374479,0.483699,0.0393377,1.27224,0.0526859,,times_8350,0.822222,0.866667,0.851852,0.851852,0.896296,0.696296,0.9
times_8400,0.304718,0.201632,0.373941,0.483408,0.0391347,1.26742,0.0524141,,times_8400,0.822222,0.866667,0.851852,0.851852,0.896296,0.7,0.9
times_8450,0.303634,0.200835,0.373408,0.483119,0.0389339,1.26266,0.0521452,,times_8450,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8500,0.30256,0.200046,0.37288,0.482833,0.0387352,1.25796,0.051879,,times_8500,0.822222,0.866667,0.851852,0.851852,0.896296,0.7,0.9
times_8550,0.301497,0.199264,0.372357,0.48255,0.0385385,1.25333,0.0516157,,times_8550,0.822222,0.866667,0.851852,0.851852,0.896296,0.7,0.9
times_8600,0.300444,0.198489,0.371839,0.48227,0.0383439,1.24876,0.0513551,,times_8600,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8650,0.299402,0.197721,0.371325,0.481993,0.0381513,1.24425,0.0510972,,times_8650,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8700,0.298369,0.19696,0.370816,0.481718,0.0379606,1.2398,0.0508419,,times_8700,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8750,0.297346,0.196206,0.370312,0.481446,0.0377719,1.23541,0.0505891,,times_8750,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8800,0.296332,0.195459,0.369812,0.481176,0.0375851,1.23108,0.050339,,times_8800,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8850,0.295328,0.194718,0.369316,0.48091,0.0374002,1.22681,0.0500914,,times_8850,0.822222,0.866667,0.851852,0.851852,0.896296,0.703704,0.9
times_8900,0.294333,0.193985,0.368825,0.480646,0.0372172,1.22259,0.0498462,,times_8900,0.822222,0.87037,0.851852,0.851852,0.896296,0.703704,0.9
times_8950,0.293347,0.193257,0.368338,0.480384,0.037036,1.21843,0.0496035,,times_8950,0.822222,0.874074,0.851852,0.851852,0.896296,0.707407,0.9
times_9000,0.29237,0.192536,0.367856,0.480125,0.0368565,1.21432,0.0493632,,times_9000,0.822222,0.874074,0.851852,0.851852,0.896296,0.707407,0.9
times_9050,0.291402,0.191822,0.367377,0.479868,0.0366789,1.21027,0.0491252,,times_9050,0.822222,0.874074,0.851852,0.851852,0.896296,0.707407,0.9
times_9100,0.290443,0.191113,0.366903,0.479614,0.036503,1.20628,0.0488896,,times_9100,0.822222,0.874074,0.855556,0.851852,0.892593,0.707407,0.9
times_9150,0.289492,0.190411,0.366433,0.479363,0.0363288,1.20233,0.0486563,,times_9150,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9200,0.28855,0.189715,0.365966,0.479113,0.0361563,1.19844,0.0484253,,times_9200,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9250,0.287616,0.189025,0.365504,0.478866,0.0359854,1.1946,0.0481965,,times_9250,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9300,0.28669,0.18834,0.365046,0.478621,0.0358163,1.19082,0.0479699,,times_9300,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9350,0.285772,0.187662,0.364591,0.478379,0.0356487,1.18708,0.0477455,,times_9350,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9400,0.284862,0.186989,0.364141,0.478138,0.0354827,1.1834,0.0475232,,times_9400,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9450,0.283959,0.186321,0.363694,0.4779,0.0353183,1.17976,0.047303,,times_9450,0.822222,0.874074,0.855556,0.851852,0.892593,0.714815,0.9
times_9500,0.283065,0.18566,0.36325,0.477664,0.0351555,1.17617,0.0470849,,times_9500,0.822222,0.874074,0.855556,0.851852,0.892593,0.725926,0.9
times_9550,0.282177,0.185003,0.362811,0.477431,0.0349941,1.17264,0.0468688,,times_9550,0.822222,0.874074,0.859259,0.851852,0.892593,0.72963,0.9
times_9600,0.281298,0.184352,0.362375,0.477199,0.0348343,1.16914,0.0466547,,times_9600,0.822222,0.874074,0.859259,0.851852,0.892593,0.733333,0.9
times_9650,0.280425,0.183707,0.361942,0.476969,0.034676,1.1657,0.0464427,,times_9650,0.822222,0.874074,0.859259,0.851852,0.892593,0.733333,0.9
times_9700,0.27956,0.183066,0.361513,0.476742,0.0345191,1.1623,0.0462326,,times_9700,0.822222,0.874074,0.859259,0.851852,0.892593,0.733333,0.9
times_9750,0.278702,0.182431,0.361088,0.476516,0.0343638,1.15895,0.0460244,,times_9750,0.822222,0.87037,0.859259,0.851852,0.892593,0.737037,0.9
times_9800,0.277851,0.181801,0.360666,0.476293,0.0342098,1.15563,0.0458181,,times_9800,0.822222,0.87037,0.859259,0.851852,0.892593,0.740741,0.9
times_9850,0.277007,0.181176,0.360248,0.476072,0.0340572,1.15237,0.0456137,,times_9850,0.822222,0.87037,0.859259,0.851852,0.892593,0.740741,0.9
times_9900,0.276169,0.180556,0.359832,0.475852,0.033906,1.14915,0.0454112,,times_9900,0.825926,0.87037,0.859259,0.851852,0.892593,0.737037,0.9
times_9950,0.275339,0.179941,0.35942,0.475634,0.0337562,1.14596,0.0452104,,times_9950,0.825926,0.87037,0.859259,0.851852,0.892593,0.733333,0.9
