times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_1850,1.00365,0.571094,0.586523,0.605228,0.130228,4.38964,0.17321,,times_1850,0.437037,0.707407,0.796296,0.807407,0.877778,0.1,0.87037
times_1900,0.973463,0.557549,0.581045,0.602094,0.127826,4.29457,0.17005,,times_1900,0.451852,0.711111,0.796296,0.807407,0.877778,0.103704,0.874074
times_1950,0.94529,0.545308,0.575791,0.599081,0.125515,4.20362,0.167009,,times_1950,0.455556,0.722222,0.796296,0.807407,0.877778,0.103704,0.877778
times_2000,0.918961,0.534114,0.570747,0.596181,0.12329,4.11644,0.164078,,times_2000,0.477778,0.725926,0.796296,0.807407,0.877778,0.107407,0.881481
times_2050,0.894325,0.523771,0.565898,0.593387,0.121147,4.0327,0.161253,,times_2050,0.488889,0.737037,0.8,0.807407,0.877778,0.114815,0.881481
times_2100,0.871242,0.514131,0.56123,0.590692,0.11908,3.95212,0.158526,,times_2100,0.488889,0.740741,0.807407,0.807407,0.877778,0.122222,0.877778
times_2150,0.849584,0.505086,0.556732,0.58809,0.117085,3.87446,0.155893,,times_2150,0.492593,0.744444,0.811111,0.811111,0.877778,0.122222,0.881481
times_2200,0.829235,0.496555,0.552394,0.585577,0.115159,3.7995,0.153348,,times_2200,0.511111,0.744444,0.814815,0.811111,0.877778,0.12963,0.881481
times_2250,0.810088,0.488472,0.548205,0.583147,0.113298,3.72707,0.150888,,times_2250,0.518519,0.751852,0.814815,0.814815,0.877778,0.137037,0.881481
times_2300,0.792045,0.480787,0.544157,0.580796,0.111498,3.657,0.148507,,times_2300,0.522222,0.762963,0.814815,0.814815,0.877778,0.148148,0.881481
times_2350,0.775018,0.473458,0.540242,0.578521,0.109756,3.58918,0.146202,,times_2350,0.525926,0.766667,0.814815,0.814815,0.877778,0.155556,0.881481
times_2400,0.758928,0.466452,0.536454,0.576315,0.108068,3.52348,0.143969,,times_2400,0.537037,0.774074,0.814815,0.814815,0.877778,0.159259,0.881481
times_2450,0.743702,0.45974,0.532784,0.574178,0.106434,3.45981,0.141806,,times_2450,0.551852,0.774074,0.818519,0.818519,0.877778,0.166667,0.881481
times_2500,0.729272,0.453296,0.529227,0.572104,0.104849,3.3981,0.139708,,times_2500,0.559259,0.774074,0.818519,0.818519,0.877778,0.17037,0.881481
times_2550,0.715579,0.447101,0.525777,0.570092,0.103311,3.33829,0.137674,,times_2550,0.577778,0.77037,0.814815,0.818519,0.877778,0.174074,0.881481
times_2600,0.702568,0.441135,0.522429,0.568139,0.101819,3.2803,0.1357,,times_2600,0.596296,0.77037,0.814815,0.822222,0.877778,0.174074,0.881481
times_2650,0.690189,0.435384,0.519178,0.566242,0.10037,3.2241,0.133783,,times_2650,0.603704,0.77037,0.818519,0.822222,0.877778,0.174074,0.881481
times_2700,0.678397,0.429832,0.51602,0.564398,0.0989622,3.16964,0.131923,,times_2700,0.607407,0.77037,0.818519,0.822222,0.877778,0.181481,0.881481
times_2750,0.667151,0.424467,0.512949,0.562606,0.0975947,3.11687,0.130115,,times_2750,0.614815,0.77037,0.818519,0.822222,0.877778,0.181481,0.881481
times_2800,0.656413,0.419277,0.509963,0.560864,0.0962653,3.06577,0.128358,,times_2800,0.614815,0.777778,0.818519,0.822222,0.877778,0.185185,0.885185
times_2850,0.646148,0.414253,0.507057,0.559169,0.0949727,3.01628,0.12665,,times_2850,0.618519,0.777778,0.818519,0.822222,0.877778,0.192593,0.885185
times_2900,0.636325,0.409384,0.504229,0.55752,0.0937155,2.96838,0.124989,,times_2900,0.622222,0.777778,0.818519,0.825926,0.877778,0.203704,0.885185
times_2950,0.626916,0.404663,0.501474,0.555915,0.0924922,2.92202,0.123374,,times_2950,0.622222,0.777778,0.818519,0.82963,0.874074,0.214815,0.885185
times_3000,0.617895,0.400081,0.49879,0.554352,0.0913016,2.87716,0.121801,,times_3000,0.633333,0.781482,0.822222,0.82963,0.874074,0.222222,0.885185
