times_0,14.592,0.00740741,16.2261,0.0259259,14.6103,0.00740741,16.7248,0.0296296,9.06246,0.0111111,14.9961,0.0185185,8.85181,0.0,
times_50,7.5277,0.0259259,6.12493,0.0222222,5.5081,0.0111111,4.30955,0.0888889,4.26363,0.237037,14.5741,0.0185185,3.16681,0.0703704,
times_100,6.7823,0.0259259,5.15689,0.0407407,4.30334,0.0296296,2.96753,0.255556,3.0805,0.659259,14.1431,0.0185185,1.5273,0.281481,
times_150,6.19757,0.0222222,4.49959,0.0555556,3.4692,0.0777778,2.18599,0.474074,2.54871,0.844444,13.7047,0.0185185,0.910093,0.496296,
times_200,5.70122,0.0185185,3.98313,0.062963,2.85514,0.12963,1.73634,0.607407,2.22024,0.907407,13.2638,0.0185185,0.690712,0.666667,
times_250,5.28349,0.0222222,3.53852,0.103704,2.36136,0.188889,1.4711,0.677778,1.96494,0.940741,12.8239,0.0185185,0.583827,0.714815,
times_300,4.92805,0.0296296,3.16353,0.122222,1.98572,0.255556,1.28613,0.72963,1.74581,0.951852,12.3847,0.0185185,0.518036,0.751852,
times_350,4.61629,0.0333333,2.85234,0.162963,1.70186,0.314815,1.13846,0.766667,1.54703,0.959259,11.9486,0.0185185,0.471846,0.777778,
times_400,4.33321,0.0407407,2.59167,0.211111,1.48597,0.374074,1.01237,0.781482,1.35872,0.955556,11.5163,0.0185185,0.436701,0.788889,
times_450,4.07123,0.0481481,2.37067,0.233333,1.32154,0.407407,0.909119,0.755556,1.17188,0.955556,11.091,0.0185185,0.408499,0.796296,
times_500,3.82723,0.0518519,2.18015,0.251852,1.19484,0.477778,0.843323,0.737037,0.976064,0.951852,10.6737,0.0185185,0.385016,0.807407,
times_550,3.5988,0.062963,2.00912,0.274074,1.09656,0.518519,0.812562,0.722222,0.747817,0.944444,10.2666,0.0185185,0.364934,0.811111,
times_600,3.38561,0.0703704,1.85332,0.292593,1.02042,0.555556,0.791248,0.72963,0.407366,0.907407,9.87028,0.0185185,0.347423,0.818519,
times_650,3.18768,0.0814815,1.71653,0.322222,0.960848,0.596296,0.772994,0.72963,0.27767,0.877778,9.48532,0.0222222,0.331928,0.825926,
times_700,2.99994,0.0925926,1.59858,0.344444,0.913174,0.625926,0.757062,0.72963,0.25474,0.866667,9.11317,0.0185185,0.318064,0.82963,
times_750,2.82179,0.0962963,1.49556,0.351852,0.874104,0.640741,0.742989,0.733333,0.239233,0.862963,8.75384,0.0185185,0.305555,0.833333,
times_800,2.65227,0.107407,1.40484,0.385185,0.841408,0.67037,0.730432,0.740741,0.227304,0.851852,8.40797,0.0222222,0.294195,0.833333,
times_850,2.49479,0.114815,1.32452,0.411111,0.813555,0.681481,0.719132,0.748148,0.21769,0.848148,8.07607,0.0259259,0.283822,0.833333,
times_900,2.34982,0.140741,1.25293,0.448148,0.789464,0.692593,0.708886,0.755556,0.209393,0.848148,7.75979,0.0259259,0.274302,0.82963,
times_950,2.21651,0.162963,1.18908,0.485185,0.768357,0.696296,0.699537,0.766667,0.202003,0.848148,7.46131,0.0296296,0.265528,0.837037,
times_1000,2.09358,0.181481,1.13219,0.5,0.749655,0.707407,0.690955,0.77037,0.195331,0.851852,7.18112,0.037037,0.257404,0.844444,
times_1050,1.98003,0.196296,1.08066,0.514815,0.732922,0.718518,0.683038,0.77037,0.189246,0.859259,6.91889,0.037037,0.249854,0.844444,
times_1100,1.87526,0.222222,1.03213,0.537037,0.717821,0.72963,0.675701,0.774074,0.183651,0.859259,6.67394,0.037037,0.242809,0.851852,
times_1150,1.7788,0.237037,0.980352,0.544444,0.704092,0.733333,0.668874,0.777778,0.178471,0.859259,6.44533,0.037037,0.236215,0.855556,
times_1200,1.69013,0.248148,0.932391,0.562963,0.691526,0.740741,0.662497,0.781482,0.173649,0.862963,6.23196,0.0407407,0.230023,0.855556,
times_1250,1.60865,0.281481,0.889423,0.566667,0.679956,0.748148,0.65652,0.781482,0.169138,0.862963,6.03264,0.0407407,0.224193,0.855556,
times_1300,1.53374,0.292593,0.850268,0.588889,0.669246,0.751852,0.650904,0.788889,0.164902,0.862963,5.84619,0.0444444,0.21869,0.855556,
times_1350,1.46478,0.311111,0.814124,0.603704,0.659287,0.751852,0.64561,0.792593,0.160909,0.862963,5.67149,0.0518519,0.213484,0.859259,
times_1400,1.40121,0.32963,0.780507,0.607407,0.649987,0.759259,0.640608,0.792593,0.157134,0.859259,5.50752,0.0518519,0.208547,0.862963,
times_1450,1.34252,0.337037,0.749113,0.622222,0.64127,0.762963,0.635872,0.792593,0.153555,0.859259,5.35335,0.0592593,0.203858,0.866667,
times_1500,1.28826,0.362963,0.719759,0.625926,0.633073,0.766667,0.631377,0.796296,0.150154,0.862963,5.20816,0.062963,0.199395,0.87037,
times_1550,1.23803,0.374074,0.692386,0.640741,0.625342,0.774074,0.627104,0.8,0.146914,0.866667,5.07123,0.0666667,0.195141,0.87037,
times_1600,1.19146,0.374074,0.667034,0.651852,0.618029,0.774074,0.623034,0.8,0.143823,0.866667,4.94191,0.0740741,0.191079,0.87037,
times_1650,1.14825,0.388889,0.643724,0.662963,0.611096,0.777778,0.619152,0.803704,0.140868,0.87037,4.8196,0.0740741,0.187196,0.87037,
times_1700,1.1081,0.403704,0.622468,0.677778,0.604507,0.777778,0.615442,0.807407,0.138039,0.874074,4.70372,0.0814815,0.183478,0.87037,
times_1750,1.07076,0.411111,0.603315,0.688889,0.598233,0.785185,0.611892,0.807407,0.135328,0.874074,4.59377,0.0925926,0.179915,0.87037,
times_1800,1.03602,0.422222,0.586251,0.7,0.592245,0.785185,0.608491,0.807407,0.132727,0.874074,4.48923,0.1,0.176495,0.87037,
times_1850,1.00365,0.437037,0.571094,0.707407,0.586523,0.796296,0.605228,0.807407,0.130228,0.877778,4.38964,0.1,0.17321,0.87037,
times_1900,0.973463,0.451852,0.557549,0.711111,0.581045,0.796296,0.602094,0.807407,0.127826,0.877778,4.29457,0.103704,0.17005,0.874074,
times_1950,0.94529,0.455556,0.545308,0.722222,0.575791,0.796296,0.599081,0.807407,0.125515,0.877778,4.20362,0.103704,0.167009,0.877778,
times_2000,0.918961,0.477778,0.534114,0.725926,0.570747,0.796296,0.596181,0.807407,0.12329,0.877778,4.11644,0.107407,0.164078,0.881481,
